timeStamp,slaveAddress,coil[0],coil[1],coil[2],coil[3],coil[4],coil[5],coil[6],coil[7],coil[8],coil[9],coil[10],coil[11],coil[12],coil[13],coil[14],coil[15],holdingRegister[1]
2020-10-27T13:21:48.595753200+01:00[Europe/Berlin],10.12.90.10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2020-10-27T13:21:48.793983600+01:00[Europe/Berlin],10.12.90.10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2020-10-27T13:21:48.994962200+01:00[Europe/Berlin],10.12.90.10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2020-10-27T13:21:49.194971900+01:00[Europe/Berlin],10.12.90.10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2020-10-27T13:21:49.394777300+01:00[Europe/Berlin],10.12.90.10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2020-10-27T13:21:49.593977400+01:00[Europe/Berlin],10.12.90.10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2020-10-27T13:21:49.794790500+01:00[Europe/Berlin],10.12.90.10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2020-10-27T13:21:49.993889800+01:00[Europe/Berlin],10.12.90.10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2020-10-27T13:21:50.194858400+01:00[Europe/Berlin],10.12.90.10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2020-10-27T13:21:50.395015500+01:00[Europe/Berlin],10.12.90.10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2020-10-27T13:21:50.593817100+01:00[Europe/Berlin],10.12.90.10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2020-10-27T13:21:50.794094+01:00[Europe/Berlin],10.12.90.10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2020-10-27T13:21:50.993840+01:00[Europe/Berlin],10.12.90.10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2020-10-27T13:21:51.193850100+01:00[Europe/Berlin],10.12.90.10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2020-10-27T13:21:51.394898900+01:00[Europe/Berlin],10.12.90.10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2020-10-27T13:21:51.594886300+01:00[Europe/Berlin],10.12.90.10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2020-10-27T13:21:51.794857200+01:00[Europe/Berlin],10.12.90.10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2020-10-27T13:21:51.993993+01:00[Europe/Berlin],10.12.90.10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2020-10-27T13:21:52.195033600+01:00[Europe/Berlin],10.12.90.10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2020-10-27T13:21:52.393072800+01:00[Europe/Berlin],10.12.90.10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2020-10-27T13:21:52.594098100+01:00[Europe/Berlin],10.12.90.10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2020-10-27T13:21:52.794083100+01:00[Europe/Berlin],10.12.90.10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2020-10-27T13:21:52.993682700+01:00[Europe/Berlin],10.12.90.10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2020-10-27T13:21:53.194559600+01:00[Europe/Berlin],10.12.90.10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2020-10-27T13:21:53.393594+01:00[Europe/Berlin],10.12.90.10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2020-10-27T13:21:53.593762300+01:00[Europe/Berlin],10.12.90.10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2020-10-27T13:21:53.793770700+01:00[Europe/Berlin],10.12.90.10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2020-10-27T13:21:53.994631200+01:00[Europe/Berlin],10.12.90.10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2020-10-27T13:21:54.194596700+01:00[Europe/Berlin],10.12.90.10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2020-10-27T13:21:54.393849100+01:00[Europe/Berlin],10.12.90.10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2020-10-27T13:21:54.594824700+01:00[Europe/Berlin],10.12.90.10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2020-10-27T13:21:54.793866300+01:00[Europe/Berlin],10.12.90.10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2020-10-27T13:21:54.993896700+01:00[Europe/Berlin],10.12.90.10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2020-10-27T13:21:55.194841900+01:00[Europe/Berlin],10.12.90.10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2020-10-27T13:21:55.394080100+01:00[Europe/Berlin],10.12.90.10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2020-10-27T13:21:55.594026700+01:00[Europe/Berlin],10.12.90.10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2020-10-27T13:21:55.794121100+01:00[Europe/Berlin],10.12.90.10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2020-10-27T13:21:55.993421200+01:00[Europe/Berlin],10.12.90.10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2020-10-27T13:21:56.194300100+01:00[Europe/Berlin],10.12.90.10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2020-10-27T13:21:56.393540600+01:00[Europe/Berlin],10.12.90.10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2020-10-27T13:21:56.593560700+01:00[Europe/Berlin],10.12.90.10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2020-10-27T13:21:56.794562600+01:00[Europe/Berlin],10.12.90.10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2020-10-27T13:21:56.994322800+01:00[Europe/Berlin],10.12.90.10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2020-10-27T13:21:57.193381200+01:00[Europe/Berlin],10.12.90.10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2020-10-27T13:21:57.393476200+01:00[Europe/Berlin],10.12.90.10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2020-10-27T13:21:57.593544800+01:00[Europe/Berlin],10.12.90.10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2020-10-27T13:21:57.793572700+01:00[Europe/Berlin],10.12.90.10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2020-10-27T13:21:57.994552900+01:00[Europe/Berlin],10.12.90.10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2020-10-27T13:21:58.194430400+01:00[Europe/Berlin],10.12.90.10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2020-10-27T13:21:58.394582+01:00[Europe/Berlin],10.12.90.10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2020-10-27T13:21:58.594476800+01:00[Europe/Berlin],10.12.90.10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2020-10-27T13:21:58.793590400+01:00[Europe/Berlin],10.12.90.10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2020-10-27T13:21:58.994555400+01:00[Europe/Berlin],10.12.90.10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2020-10-27T13:21:59.194413200+01:00[Europe/Berlin],10.12.90.10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2020-10-27T13:21:59.393584900+01:00[Europe/Berlin],10.12.90.10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2020-10-27T13:21:59.594635900+01:00[Europe/Berlin],10.12.90.10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2020-10-27T13:21:59.794625+01:00[Europe/Berlin],10.12.90.10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2020-10-27T13:21:59.994482700+01:00[Europe/Berlin],10.12.90.10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2020-10-27T13:22:00.194457300+01:00[Europe/Berlin],10.12.90.10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2020-10-27T13:22:00.393713500+01:00[Europe/Berlin],10.12.90.10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2020-10-27T13:22:00.594482900+01:00[Europe/Berlin],10.12.90.10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2020-10-27T13:22:00.794475400+01:00[Europe/Berlin],10.12.90.10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2020-10-27T13:22:00.993487900+01:00[Europe/Berlin],10.12.90.10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2020-10-27T13:22:01.193791500+01:00[Europe/Berlin],10.12.90.10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2020-10-27T13:22:01.394780400+01:00[Europe/Berlin],10.12.90.10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2020-10-27T13:22:01.594775300+01:00[Europe/Berlin],10.12.90.10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2020-10-27T13:22:01.793781900+01:00[Europe/Berlin],10.12.90.10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2020-10-27T13:22:01.993823900+01:00[Europe/Berlin],10.12.90.10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2020-10-27T13:22:02.194795800+01:00[Europe/Berlin],10.12.90.10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2020-10-27T13:22:02.394069500+01:00[Europe/Berlin],10.12.90.10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2020-10-27T13:22:02.594000300+01:00[Europe/Berlin],10.12.90.10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
